============================================================
Currently Loaded Modulefiles:
 1) intel/oneapi/2023.2.0  
MKLROOT=/apps/support/intel_spr_rocky8.9/oneapi/2023.2.0/mkl/2023.2.0
============================================================
Job ID: namd-cy
Job name: namd-cy
Number of nodes: 1
Number of processors: 8
Task is running on the following nodes:
qhcn003
OMP_NUM_THREADS = 1
============================================================

5 995 1 1
dkcx = 0.000000, dkcy = 0.000000, dkcz = 0.000000
dkdx = 0.000000, dkdy = 0.000000, dkdz = 0.000000
dkx = 0, dky = 0, dkz = 0
Read epc time: 0.006287s.
Sample 0, EPCTXT time: 0.008352s.
TimeProp in 0 fs: 0.00989s.
TimeProp in 1 fs: 0.00105s.
TimeProp in 2 fs: 0.00098s.
TimeProp in 3 fs: 0.00097s.
TimeProp in 4 fs: 0.00097s.
TimeProp in 5 fs: 0.00104s.
TimeProp in 6 fs: 0.00105s.
TimeProp in 7 fs: 0.00097s.
TimeProp in 8 fs: 0.00097s.
TimeProp in 9 fs: 0.00097s.
TimeProp in 10 fs: 0.00101s.
TimeProp in 11 fs: 0.00104s.
TimeProp in 12 fs: 0.00105s.
TimeProp in 13 fs: 0.00098s.
TimeProp in 14 fs: 0.00100s.
TimeProp in 15 fs: 0.00097s.
TimeProp in 16 fs: 0.00101s.
TimeProp in 17 fs: 0.00101s.
TimeProp in 18 fs: 0.00106s.
TimeProp in 19 fs: 0.00098s.
TimeProp in 20 fs: 0.00100s.
TimeProp in 21 fs: 0.00097s.
TimeProp in 22 fs: 0.00103s.
TimeProp in 23 fs: 0.00098s.
TimeProp in 24 fs: 0.00107s.
TimeProp in 25 fs: 0.00098s.
TimeProp in 26 fs: 0.00102s.
TimeProp in 27 fs: 0.00097s.
TimeProp in 28 fs: 0.00103s.
TimeProp in 29 fs: 0.00097s.
TimeProp in 30 fs: 0.00105s.
TimeProp in 31 fs: 0.00104s.
TimeProp in 32 fs: 0.00100s.
TimeProp in 33 fs: 0.00097s.
TimeProp in 34 fs: 0.00104s.
TimeProp in 35 fs: 0.00098s.
TimeProp in 36 fs: 0.00098s.
TimeProp in 37 fs: 0.00098s.
TimeProp in 38 fs: 0.00104s.
TimeProp in 39 fs: 0.00099s.
TimeProp in 40 fs: 0.00104s.
TimeProp in 41 fs: 0.00096s.
TimeProp in 42 fs: 0.00103s.
TimeProp in 43 fs: 0.00100s.
TimeProp in 44 fs: 0.00102s.
TimeProp in 45 fs: 0.00097s.
TimeProp in 46 fs: 0.00106s.
TimeProp in 47 fs: 0.00099s.
TimeProp in 48 fs: 0.00103s.
TimeProp in 49 fs: 0.00098s.
TimeProp in 50 fs: 0.00103s.
TimeProp in 51 fs: 0.00101s.
TimeProp in 52 fs: 0.00105s.
TimeProp in 53 fs: 0.00098s.
TimeProp in 54 fs: 0.00103s.
TimeProp in 55 fs: 0.00099s.
TimeProp in 56 fs: 0.00102s.
TimeProp in 57 fs: 0.00102s.
TimeProp in 58 fs: 0.00105s.
TimeProp in 59 fs: 0.00100s.
TimeProp in 60 fs: 0.00103s.
TimeProp in 61 fs: 0.00102s.
TimeProp in 62 fs: 0.00104s.
TimeProp in 63 fs: 0.00101s.
TimeProp in 64 fs: 0.00105s.
TimeProp in 65 fs: 0.00101s.
TimeProp in 66 fs: 0.00103s.
TimeProp in 67 fs: 0.00101s.
TimeProp in 68 fs: 0.00103s.
TimeProp in 69 fs: 0.00099s.
TimeProp in 70 fs: 0.00104s.
TimeProp in 71 fs: 0.00100s.
TimeProp in 72 fs: 0.00103s.
TimeProp in 73 fs: 0.00101s.
TimeProp in 74 fs: 0.00104s.
TimeProp in 75 fs: 0.00099s.
TimeProp in 76 fs: 0.00105s.
TimeProp in 77 fs: 0.00097s.
TimeProp in 78 fs: 0.00102s.
TimeProp in 79 fs: 0.00104s.
TimeProp in 80 fs: 0.00102s.
TimeProp in 81 fs: 0.00098s.
TimeProp in 82 fs: 0.00106s.
TimeProp in 83 fs: 0.00100s.
TimeProp in 84 fs: 0.00103s.
TimeProp in 85 fs: 0.00099s.
TimeProp in 86 fs: 0.00102s.
TimeProp in 87 fs: 0.00100s.
TimeProp in 88 fs: 0.00104s.
TimeProp in 89 fs: 0.00100s.
TimeProp in 90 fs: 0.00104s.
TimeProp in 91 fs: 0.00099s.
TimeProp in 92 fs: 0.00097s.
TimeProp in 93 fs: 0.00100s.
TimeProp in 94 fs: 0.00105s.
TimeProp in 95 fs: 0.00100s.
TimeProp in 96 fs: 0.00103s.
TimeProp in 97 fs: 0.00099s.
TimeProp in 98 fs: 0.00099s.
TimeProp in 99 fs: 0.00101s.
TimeProp in 100 fs: 0.00100s.
TimeProp in 101 fs: 0.00101s.
TimeProp in 102 fs: 0.00105s.
TimeProp in 103 fs: 0.00101s.
TimeProp in 104 fs: 0.00097s.
TimeProp in 105 fs: 0.00097s.
TimeProp in 106 fs: 0.00104s.
TimeProp in 107 fs: 0.00102s.
TimeProp in 108 fs: 0.00105s.
TimeProp in 109 fs: 0.00101s.
TimeProp in 110 fs: 0.00102s.
TimeProp in 111 fs: 0.00099s.
TimeProp in 112 fs: 0.00102s.
TimeProp in 113 fs: 0.00102s.
TimeProp in 114 fs: 0.00105s.
TimeProp in 115 fs: 0.00104s.
TimeProp in 116 fs: 0.00100s.
TimeProp in 117 fs: 0.00097s.
TimeProp in 118 fs: 0.00105s.
TimeProp in 119 fs: 0.00104s.
TimeProp in 120 fs: 0.00104s.
TimeProp in 121 fs: 0.00104s.
TimeProp in 122 fs: 0.00099s.
TimeProp in 123 fs: 0.00096s.
TimeProp in 124 fs: 0.00101s.
TimeProp in 125 fs: 0.00102s.
TimeProp in 126 fs: 0.00103s.
TimeProp in 127 fs: 0.00105s.
TimeProp in 128 fs: 0.00099s.
TimeProp in 129 fs: 0.00097s.
TimeProp in 130 fs: 0.00103s.
TimeProp in 131 fs: 0.00103s.
TimeProp in 132 fs: 0.00103s.
TimeProp in 133 fs: 0.00102s.
TimeProp in 134 fs: 0.00099s.
TimeProp in 135 fs: 0.00098s.
TimeProp in 136 fs: 0.00101s.
TimeProp in 137 fs: 0.00103s.
TimeProp in 138 fs: 0.00105s.
TimeProp in 139 fs: 0.00102s.
TimeProp in 140 fs: 0.00097s.
TimeProp in 141 fs: 0.00098s.
TimeProp in 142 fs: 0.00104s.
TimeProp in 143 fs: 0.00103s.
TimeProp in 144 fs: 0.00102s.
TimeProp in 145 fs: 0.00102s.
TimeProp in 146 fs: 0.00101s.
TimeProp in 147 fs: 0.00098s.
TimeProp in 148 fs: 0.00102s.
TimeProp in 149 fs: 0.00104s.
TimeProp in 150 fs: 0.00101s.
TimeProp in 151 fs: 0.00102s.
TimeProp in 152 fs: 0.00097s.
TimeProp in 153 fs: 0.00100s.
TimeProp in 154 fs: 0.00102s.
TimeProp in 155 fs: 0.00104s.
TimeProp in 156 fs: 0.00101s.
TimeProp in 157 fs: 0.00103s.
TimeProp in 158 fs: 0.00097s.
TimeProp in 159 fs: 0.00099s.
TimeProp in 160 fs: 0.00101s.
TimeProp in 161 fs: 0.00105s.
TimeProp in 162 fs: 0.00102s.
TimeProp in 163 fs: 0.00102s.
TimeProp in 164 fs: 0.00097s.
TimeProp in 165 fs: 0.00101s.
TimeProp in 166 fs: 0.00103s.
TimeProp in 167 fs: 0.00105s.
TimeProp in 168 fs: 0.00102s.
TimeProp in 169 fs: 0.00102s.
TimeProp in 170 fs: 0.00098s.
TimeProp in 171 fs: 0.00101s.
TimeProp in 172 fs: 0.00102s.
TimeProp in 173 fs: 0.00103s.
TimeProp in 174 fs: 0.00102s.
TimeProp in 175 fs: 0.00103s.
TimeProp in 176 fs: 0.00099s.
TimeProp in 177 fs: 0.00101s.
TimeProp in 178 fs: 0.00102s.
TimeProp in 179 fs: 0.00104s.
TimeProp in 180 fs: 0.00102s.
TimeProp in 181 fs: 0.00102s.
TimeProp in 182 fs: 0.00101s.
TimeProp in 183 fs: 0.00101s.
TimeProp in 184 fs: 0.00102s.
TimeProp in 185 fs: 0.00104s.
TimeProp in 186 fs: 0.00102s.
TimeProp in 187 fs: 0.00102s.
TimeProp in 188 fs: 0.00102s.
TimeProp in 189 fs: 0.00101s.
TimeProp in 190 fs: 0.00102s.
TimeProp in 191 fs: 0.00104s.
TimeProp in 192 fs: 0.00102s.
TimeProp in 193 fs: 0.00103s.
TimeProp in 194 fs: 0.00103s.
TimeProp in 195 fs: 0.00098s.
TimeProp in 196 fs: 0.00102s.
TimeProp in 197 fs: 0.00104s.
TimeProp in 198 fs: 0.00102s.
TimeProp in 199 fs: 0.00102s.
TimeProp in 200 fs: 0.00097s.
TimeProp in 201 fs: 0.00099s.
TimeProp in 202 fs: 0.00102s.
TimeProp in 203 fs: 0.00104s.
TimeProp in 204 fs: 0.00102s.
TimeProp in 205 fs: 0.00102s.
TimeProp in 206 fs: 0.00097s.
TimeProp in 207 fs: 0.00101s.
TimeProp in 208 fs: 0.00102s.
TimeProp in 209 fs: 0.00104s.
TimeProp in 210 fs: 0.00103s.
TimeProp in 211 fs: 0.00102s.
TimeProp in 212 fs: 0.00097s.
TimeProp in 213 fs: 0.00101s.
TimeProp in 214 fs: 0.00102s.
TimeProp in 215 fs: 0.00105s.
TimeProp in 216 fs: 0.00104s.
TimeProp in 217 fs: 0.00103s.
TimeProp in 218 fs: 0.00098s.
TimeProp in 219 fs: 0.00100s.
TimeProp in 220 fs: 0.00103s.
TimeProp in 221 fs: 0.00104s.
TimeProp in 222 fs: 0.00104s.
TimeProp in 223 fs: 0.00102s.
TimeProp in 224 fs: 0.00099s.
TimeProp in 225 fs: 0.00100s.
TimeProp in 226 fs: 0.00102s.
TimeProp in 227 fs: 0.00104s.
TimeProp in 228 fs: 0.00105s.
TimeProp in 229 fs: 0.00102s.
TimeProp in 230 fs: 0.00102s.
TimeProp in 231 fs: 0.00099s.
TimeProp in 232 fs: 0.00103s.
TimeProp in 233 fs: 0.00104s.
TimeProp in 234 fs: 0.00102s.
TimeProp in 235 fs: 0.00102s.
TimeProp in 236 fs: 0.00101s.
TimeProp in 237 fs: 0.00097s.
TimeProp in 238 fs: 0.00103s.
TimeProp in 239 fs: 0.00104s.
TimeProp in 240 fs: 0.00102s.
TimeProp in 241 fs: 0.00101s.
TimeProp in 242 fs: 0.00101s.
TimeProp in 243 fs: 0.00101s.
TimeProp in 244 fs: 0.00101s.
TimeProp in 245 fs: 0.00104s.
TimeProp in 246 fs: 0.00102s.
TimeProp in 247 fs: 0.00103s.
TimeProp in 248 fs: 0.00102s.
TimeProp in 249 fs: 0.00099s.
TimeProp in 250 fs: 0.00101s.
TimeProp in 251 fs: 0.00103s.
TimeProp in 252 fs: 0.00102s.
TimeProp in 253 fs: 0.00102s.
TimeProp in 254 fs: 0.00101s.
TimeProp in 255 fs: 0.00100s.
TimeProp in 256 fs: 0.00101s.
TimeProp in 257 fs: 0.00105s.
TimeProp in 258 fs: 0.00103s.
TimeProp in 259 fs: 0.00103s.
TimeProp in 260 fs: 0.00102s.
TimeProp in 261 fs: 0.00100s.
TimeProp in 262 fs: 0.00102s.
TimeProp in 263 fs: 0.00104s.
TimeProp in 264 fs: 0.00104s.
TimeProp in 265 fs: 0.00102s.
TimeProp in 266 fs: 0.00101s.
TimeProp in 267 fs: 0.00097s.
TimeProp in 268 fs: 0.00101s.
TimeProp in 269 fs: 0.00104s.
TimeProp in 270 fs: 0.00105s.
TimeProp in 271 fs: 0.00102s.
TimeProp in 272 fs: 0.00103s.
TimeProp in 273 fs: 0.00099s.
TimeProp in 274 fs: 0.00101s.
TimeProp in 275 fs: 0.00103s.
TimeProp in 276 fs: 0.00105s.
TimeProp in 277 fs: 0.00102s.
TimeProp in 278 fs: 0.00103s.
TimeProp in 279 fs: 0.00099s.
TimeProp in 280 fs: 0.00101s.
TimeProp in 281 fs: 0.00103s.
TimeProp in 282 fs: 0.00102s.
TimeProp in 283 fs: 0.00103s.
TimeProp in 284 fs: 0.00102s.
TimeProp in 285 fs: 0.00099s.
TimeProp in 286 fs: 0.00100s.
TimeProp in 287 fs: 0.00105s.
TimeProp in 288 fs: 0.00102s.
